Name,Target Name,Object Name,Type,Object Type,Inst Num,Value,Export Ord,Export,Fault Cause,Description,BACnet Writable
analogValue_390,EngyPosSum,BcpLonNetwork.S3E1_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,390,"54481,1 kW-hr {ok}",h:a687,{ok},,,no
analogValue_391,PowerSum,BcpLonNetwork.S3E1_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,391,"582,99 W {ok}",h:a689,{ok},,,no
analogValue_392,PowerFactorAvg,BcpLonNetwork.S3E1_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,392,"0,62 {ok}",h:a68b,{ok},,,no
analogValue_400,EngyPosSum,BcpLonNetwork.S3E2_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,400,"44289,9 kW-hr {ok}",h:a68d,{ok},,,no
analogValue_401,PowerSum,BcpLonNetwork.S3E2_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,401,"488,72 W {ok}",h:a68f,{ok},,,no
analogValue_402,PowerFactorAvg,BcpLonNetwork.S3E2_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,402,"0,55 {ok}",h:a691,{ok},,,no
analogValue_410,EngyPosSum,BcpLonNetwork.S3E3_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,410,"64411,8 kW-hr {ok}",h:a693,{ok},,,no
analogValue_411,PowerSum,BcpLonNetwork.S3E3_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,411,"857,76 W {ok}",h:a695,{ok},,,no
analogValue_412,PowerFactorAvg,BcpLonNetwork.S3E3_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,412,"0,80 {ok}",h:a697,{ok},,,no
analogValue_420,EngyPosSum,BcpLonNetwork.S3E8_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,420,"22,2 kW-hr {ok}",h:a699,{ok},,,no
analogValue_421,PowerSum,BcpLonNetwork.S3E8_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,421,"0,00 W {ok}",h:a69b,{ok},,,no
analogValue_422,PowerFactorAvg,BcpLonNetwork.S3E8_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,422,"1,00 {ok}",h:a69d,{ok},,,no
analogValue_430,EngyPosSum,BcpLonNetwork.S3E_V_E.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,430,"24001,3 kW-hr {ok}",h:a69f,{ok},,,no
analogValue_431,PowerSum,BcpLonNetwork.S3E_V_E.PowerSum,Bacnet Analog Value Descriptor,Analog Value,431,"276,85 W {ok}",h:a6a1,{ok},,,no
analogValue_432,PowerFactorAvg,BcpLonNetwork.S3E_V_E.PowerFactorAvg,Bacnet Analog Value Descriptor,Analog Value,432,"0,96 {ok}",h:a6a3,{ok},,,no
analogValue_440,EngyPosSum,BcpLonNetwork.S2_HUM.EngyPosSum,Bacnet Analog Value Descriptor,Analog Value,440,"93174,4 kW-hr {ok}",h:a6a5,{ok},,,no
